brand,model,model_type,price_euros,mileage,manual_automatic,date,fuel,power,year
BMW,X3,xDrive 30dA,16500,168000,Automático,2014-02-01,Diésel,190 kW (258 CV),2014
BMW,225,225xe iPerformance Active Tourer,14990,108000,Automático,2019-05-01,Electro/Gasolina,165 kW (224 CV),2019
Volvo,V50,D5 Momentum Aut.,4950,240000,Automático,2006-10-01,Diésel,132 kW (179 CV),2006
Audi,A4,1.8,3610,151757,Manual,1999-06-01,Gasolina,132 kW (179 CV),1999
Audi,RS3,Sportback quattro S tronic 294kW,59900,68750,Automático,2022-07-01,Gasolina,294 kW (400 CV),2022
Toyota,,1.0 72CV Trendy,11300,57932,Manual,2023-01-01,Gasolina,53 kW (72 CV),2023
Alfa Romeo,Tonale,1.6 Diesel 131cv TCT Sprint,27290,9850,Automático,2024-02-01,Diésel,96 kW (131 CV),2024
Infiniti,QX50,3.0d GT Premium Aut.,12900,156000,Automático,2015-05-01,Diésel,175 kW (238 CV),2015
Opel,Corsa,1.2T XHL 74KW YES 5P,14850,1,Manual,2025-02-01,Gasolina,74 kW (101 CV),2025
Opel,Corsa,1.4 Business 90,6990,79965,Manual,2017-01-01,Gasolina,66 kW (90 CV),2017
Kia,Sportage,1.6 T-GDi Concept 150,20900,27000,Manual,2023-08-01,Gasolina,112 kW (152 CV),2023
BMW,X3,sDrive 18d Essential Edition,13900,167000,Manual,2013-03-01,Diésel,105 kW (143 CV),2013
Audi,A4,Avant 2.0TDI 110kW,18990,73000,Automático,2017-01-01,Diésel,110 kW (150 CV),2017
Nissan,Qashqai,1.6 Acenta 4x2,10499,92496,Manual,2014-01-01,Gasolina,84 kW (114 CV),2014
Renault,Clio,1.5dCi eco2 S&S Energy Dynamique 90,7990,81277,Manual,2013-05-01,Diésel,66 kW (90 CV),2013
Mercedes-Benz,C 220,220d 9G-Tronic,24800,117000,Automático,2021-01-01,Diésel,143 kW (194 CV),2021
CUPRA,Leon,1.5 eTSI 110 DSG,23700,16500,Automático,2024-04-01,Gasolina,110 kW (150 CV),2024
Porsche,Cayenne,4.5 Turbo S Aut.,15990,166000,Automático,2006-12-01,Gasolina,383 kW (521 CV),2006
Fiat,500,1.0 Hybrid Monotrim 52kW,10490,22018,Manual,2024-01-01,Gasolina,52 kW (71 CV),2024
SEAT,Ateca,2.0 TDI Xcellence Edition,17332,108894,Automático,2019-11-01,Diésel,110 kW (150 CV),2019
Kia,Sportage,1.7CRDi VGT Eco-Dynamics Drive 4x2,14990,72500,Manual,2017-01-01,Diésel,85 kW (116 CV),2017
Volkswagen,Sharan,2.0TDI Advance BMT DSG 140,11990,135000,Automático,2011-04-01,Diésel,103 kW (140 CV),2011
Peugeot,207,1.4 VTi 16v Sport,4999,96722,Manual,2009-07-01,Gasolina,70 kW (95 CV),2009
Mercedes-Benz,C 63 AMG,S 7G Plus,47990,102000,Automático,2015-03-01,Gasolina,375 kW (510 CV),2015
Kia,Ceed / cee'd,1.4CRDI WGT Concept 90,8400,180000,Manual,2015-06-01,Diésel,66 kW (90 CV),2015
MINI,Cooper,S,11990,72000,Manual,2009-10-01,Gasolina,128 kW (174 CV),2009
Jeep,Avenger,1.2 Ehybrid Altitude 100,18190,26074,Automático,2024-02-01,Gasolina,74 kW (101 CV),2024
Opel,Astra,1.6CDTi S/S Selective Pro 110,11990,61088,Manual,2020-11-01,Diésel,81 kW (110 CV),2020
Mercedes-Benz,S 350,BT 4M (4.75) Aut.,30000,238000,Automático,2016-08-01,Diésel,190 kW (258 CV),2016
Toyota,Yaris,MY'20 72CV,9900,42639,Manual,2019-12-01,Gasolina,53 kW (72 CV),2019
Porsche,Taycan,4S,69900,34000,Automático,2020-08-01,Electro/Gasolina,390 kW (530 CV),2020
Toyota,Yaris,MY'20 72CV,9900,42639,Manual,2019-12-01,Gasolina,53 kW (72 CV),2019
Porsche,Taycan,4S,69900,34000,Automático,2020-08-01,Electro/Gasolina,390 kW (530 CV),2020
SEAT,Altea XL,1.8 TSI Copa Style DSG,7200,105000,Automático,2010-02-01,Gasolina,118 kW (160 CV),2010
Mercedes-Benz,A 200,d AMG Line,12900,251000,Automático,2015-10-01,Diésel,100 kW (136 CV),2015
BMW,M3,,49900,89000,Manual,2009-02-01,Gasolina,309 kW (420 CV),2009
Citroen,C4,Grand Picasso 2.0BlueHDi S&S Exclusive EAT6,7950,212000,Automático,2014-01-01,Diésel,110 kW (150 CV),2014
Peugeot,Rifter,1.5BlueHDi S&S Standard Access 100,11990,160000,Manual,2021-01-01,Diésel,73 kW (99 CV),2021
Subaru,Forester,2.0i Hybrid Sport Plus CVT,28990,1524,Automático,2023-12-01,Electro/Gasolina,111 kW (151 CV),2023
Nissan,X-Trail,2.2DCi Elegance,5550,234000,Manual,2006-04-01,Diésel,100 kW (136 CV),2006
Volkswagen,Touareg,3.0TDI V6 Premium Tiptronic Elegance 4M 170kW,37990,110000,Automático,2022-01-01,Diésel,170 kW (231 CV),2022
SEAT,Ibiza,1.2 TSI S&S FR,8990,114802,Manual,2017-06-01,Gasolina,66 kW (90 CV),2017
Peugeot,2008,1.6 BlueHDI Style 100,9990,92658,Manual,2017-03-01,Diésel,73 kW (99 CV),2017
Subaru,Tribeca,3.6 Limited 5st Aut.,11900,143000,Automático,2009-05-01,Gasolina,190 kW (258 CV),2009
Volkswagen,CC,2.0TDI BMT DSG 177,13990,99000,Automático,2013-12-01,Diésel,130 kW (177 CV),2013
Renault,Laguna,1.5dCi Dynamique TomTom,5490,192000,Manual,2011-05-01,Diésel,81 kW (110 CV),2011
Hyundai,IONIQ,EV 28KWH KLASS 120 CV 5P,13400,39080,Automático,2018-10-01,Electro/Gasolina,88 kW (120 CV),2018
Jeep,Avenger,1.2 Altitude 100,18500,11348,Manual,2023-07-01,Gasolina,74 kW (101 CV),2023
Peugeot,Rifter,1.5 BLUEHDI 73KW ACTIVE STANDARD 5P,13400,129000,Manual,2020-02-01,Diésel,74 kW (101 CV),2020
Citroen,C-Elysée,1.6 VTi Seduction 115,5990,130000,Manual,2015-06-01,Gasolina,85 kW (116 CV),2015
Mercedes-Benz,C 200,9G-Tronic,39900,20000,Automático,2022-03-01,Gasolina,150 kW (204 CV),2022
Volvo,XC60,B4 Core AWD Aut.,35091,22053,Automático,2023-12-01,Diésel,145 kW (197 CV),2023
Mazda,CX-60,Exclusive-Line Hybrid AWD,31140,61085,Automático,2023-01-01,Electro/Gasolina,241 kW (328 CV),2023
Volkswagen,Tiguan,2.0TDI BMT Excellence 4M DSG 140,13000,162700,Automático,2012-10-01,Diésel,103 kW (140 CV),2012
SEAT,Arona,1.0 TGI S&S Style 90,10790,130000,Manual,2020-01-01,Gas licuado (GLP),66 kW (90 CV),2020
Mercedes-Benz,C 220,220d 9G-Tronic,37990,34000,Automático,2022-03-01,Diésel,147 kW (200 CV),2022
Audi,A3,Sportback 30TDI S line S tronic,23980,65119,Automático,2022-04-01,Diésel,85 kW (116 CV),2022
Peugeot,2008,1.2 PureTech S&S Signature 82,10190,18047,Manual,2019-01-01,Gasolina,60 kW (82 CV),2019
CUPRA,Formentor,1.5 TSI 150,21900,28100,Manual,2021-06-01,Gasolina,110 kW (150 CV),2021
Mercedes-Benz,CLK 200,270CDI,6990,133000,Manual,2004-06-01,Diésel,125 kW (170 CV),2004
Mercedes-Benz,C 200,9G-Tronic,20746,115301,Automático,2019-07-01,Gasolina,135 kW (184 CV),2019
Peugeot,208,1.2 PureTech Style 82,6800,98798,Manual,2017-05-01,Gasolina,60 kW (82 CV),2017
Mercedes-Benz,E 220,Coupé 220CDI (4.75),19790,65000,Automático,2014-03-01,Diésel,125 kW (170 CV),2014
Fiat,500,1.0 Hybrid Dolcevita 52kW,10890,18638,Manual,2024-01-01,Gasolina,52 kW (71 CV),2024
Lynk & Co,01,1.5T PHEV,23391,33721,Automático,2023-04-01,Electro/Gasolina,192 kW (261 CV),2023
Mercedes-Benz,A 200,200d 4Matic 8G-DCT,25000,94717,Automático,2020-11-01,Diésel,110 kW (150 CV),2020
Audi,A3,Sportback 35TDI Black line,25490,59940,Manual,2022-03-01,Diésel,110 kW (150 CV),2022
Volvo,XC90,B5 Business Plus 7pl. AWD Aut.,37791,99673,Automático,2020-11-01,Diésel,173 kW (235 CV),2020
Peugeot,607,2.7HDI Pack Titanio Aut.,5990,228543,Automático,2010-03-01,Diésel,150 kW (204 CV),2010
Nissan,Qashqai,1.6dCi Visia 4x2,12900,178000,Manual,2018-08-01,Diésel,96 kW (131 CV),2018
Kia,Ceed / cee'd,1.0 T-GDI Drive,16270,21430,Manual,2023-06-01,Gasolina,88 kW (120 CV),2023
Lynk & Co,01,1.5T PHEV,23391,33721,Automático,2023-04-01,Electro/Gasolina,192 kW (261 CV),2023
Mercedes-Benz,A 200,200d 4Matic 8G-DCT,25000,94717,Automático,2020-11-01,Diésel,110 kW (150 CV),2020
BMW,M5,M5A CS,136990,39200,Automático,2021-06-01,Gasolina,467 kW (635 CV),2021
Audi,A3,Sportback 35TDI Black line,25490,59940,Manual,2022-03-01,Diésel,110 kW (150 CV),2022
Volvo,XC90,B5 Business Plus 7pl. AWD Aut.,37791,99673,Automático,2020-11-01,Diésel,173 kW (235 CV),2020
Peugeot,607,2.7HDI Pack Titanio Aut.,5990,228543,Automático,2010-03-01,Diésel,150 kW (204 CV),2010
Nissan,Qashqai,1.6dCi Visia 4x2,12900,178000,Manual,2018-08-01,Diésel,96 kW (131 CV),2018
Kia,Ceed / cee'd,1.0 T-GDI Drive,16270,21430,Manual,2023-06-01,Gasolina,88 kW (120 CV),2023
Porsche,Macan,GTS Aut.,47490,116000,Automático,2018-01-01,Gasolina,265 kW (360 CV),2018
Ford,Focus,1.6 16v. Wagon Ambiente,2990,110000,Manual,2000-09-01,Gasolina,74 kW (101 CV),2000
Mercedes-Benz,CLA 250,Shooting Brake 250e 8G-DCT,27173,34868,Automático,2021-01-01,Electro/Gasolina,160 kW (218 CV),2021
Opel,Corsa,1.2T XHL S/S GS 100,12690,16036,Manual,2024-04-01,Gasolina,74 kW (101 CV),2024
Toyota,Prius,1.8 VVT-I PHEV HYBRID ADVANCE AUTO 122 5P,21450,56953,Automático,2021-06-01,Electro/Gasolina,90 kW (122 CV),2021
Citroen,C4,Grand Spacetourer 1.2 PureTech S&S Live 130,10500,169000,Manual,2021-04-01,Gasolina,96 kW (131 CV),2021
BMW,X6,xDrive 30dA,55900,104169,Automático,2020-12-01,Diésel,195 kW (265 CV),2020
Citroen,C-Elysée,1.5BlueHDi S&S Origins 100,9990,42000,Manual,2020-01-01,Diésel,75 kW (102 CV),2020
Chevrolet,Camaro,Coupé Aut.,32000,68500,Automático,2017-01-01,Gasolina,- kW (- CV),2017
Opel,Corsa,1.2T XHL S/S GS 100,12690,17167,Manual,2024-04-01,Gasolina,74 kW (101 CV),2024
Lexus,GS 300,300h Eco,20980,93867,Automático,2016-11-01,Electro/Gasolina,164 kW (223 CV),2016
Land Rover,Range Rover Velar,2.0D I4 MHEV S 4WD Aut. 204,26999,180000,Automático,2021-04-01,Diésel,150 kW (204 CV),2021
Mercedes-Benz,B 200,-CLASS 1.8 CDI 136 5P,14990,96451,Manual,2015-02-01,Diésel,100 kW (136 CV),2015
Ford,Focus,Trend,4490,200145,Manual,2011-12-01,Diésel,85 kW (116 CV),2011
SEAT,Leon,2.0TDI FR1,7599,169000,Manual,2007-09-01,Diésel,125 kW (170 CV),2007
Dodge,Caliber,2.0CRD S,5800,125000,Manual,2006-07-01,Diésel,103 kW (140 CV),2006
Land Rover,Range Rover Evoque,2.2L SD4 Sicilian Yellow LE 4x4 190 Aut.,17990,149000,Automático,2013-09-01,Diésel,140 kW (190 CV),2013
Volkswagen,Passat,Variant 1.6TDI Business Edition BMT,9990,149000,Manual,2013-07-01,Diésel,77 kW (105 CV),2013
Mercedes-Benz,E 220,CDI,5500,320000,Manual,2002-01-01,Diésel,110 kW (150 CV),2002
Audi,Q7,3.0TDI Ambition Tiptronic,15990,180000,Automático,2011-02-01,Diésel,176 kW (239 CV),2011
Fiat,Qubo,Fiorino 1.3Mjt Dynamic 95,5990,250000,Manual,2015-01-01,Diésel,70 kW (95 CV),2015
Pontiac,Solstice,,18900,56000,Automático,2007-02-01,Gasolina,- kW (- CV),2007
Chrysler,300C,3.0CRD Executive Aut.,7990,245000,Automático,2010-06-01,Diésel,160 kW (218 CV),2010
Land Rover,Range Rover Evoque,2.0TD4 SE Dynamic 4WD Aut. 150,17900,125000,Automático,2016-04-01,Diésel,110 kW (150 CV),2016
Skoda,Octavia,2.0TDI CR Ambition,11900,100925,Manual,2015-04-01,Diésel,110 kW (150 CV),2015
SEAT,Leon,1.6TDICR Reference Copa E-eco. S&S,7499,139999,Manual,2011-07-01,Diésel,77 kW (105 CV),2011
Peugeot,208,1.2 PureTech S&S Active 82,7500,75000,Manual,2019-12-01,Gasolina,61 kW (83 CV),2019
Mercedes-Benz,GLA 220,220CDI AMG Line 7G-DCT,18490,167000,Automático,2015-01-01,Diésel,125 kW (170 CV),2015
Volvo,V40,D2 Kinetic Aut. 120,13990,87653,Automático,2017-07-01,Diésel,88 kW (120 CV),2017
Opel,Corsa,1.2T XHL S/S Elegance 100,12985,16654,Manual,2022-01-01,Gasolina,74 kW (101 CV),2022
Land Rover,Discovery,Expedition Td5 (138 CV) 7 asientos,12900,100000,Manual,2001-06-01,Diésel,101 kW (137 CV),2001
Audi,A8,3.3TDI quattro Tiptronic,4500,296000,Automático,2000-01-01,Diésel,165 kW (224 CV),2000
Mercedes-Benz,E 220,CDI,5500,320000,Manual,2002-01-01,Diésel,110 kW (150 CV),2002
Audi,Q7,3.0TDI Ambition Tiptronic,15990,180000,Automático,2011-02-01,Diésel,176 kW (239 CV),2011
Fiat,Qubo,Fiorino 1.3Mjt Dynamic 95,5990,250000,Manual,2015-01-01,Diésel,70 kW (95 CV),2015
Pontiac,Solstice,,18900,56000,Automático,2007-02-01,Gasolina,- kW (- CV),2007
Toyota,RAV 4,150D Advance 2WD,19450,80054,Manual,2016-08-01,Diésel,105 kW (143 CV),2016
Chrysler,300C,3.0CRD Executive Aut.,7990,245000,Automático,2010-06-01,Diésel,160 kW (218 CV),2010
Land Rover,Range Rover Evoque,2.0TD4 SE Dynamic 4WD Aut. 150,17900,125000,Automático,2016-04-01,Diésel,110 kW (150 CV),2016
SEAT,Leon,1.6TDICR Reference Copa E-eco. S&S,7499,139999,Manual,2011-07-01,Diésel,77 kW (105 CV),2011
Peugeot,208,1.2 PureTech S&S Active 82,7500,75000,Manual,2019-12-01,Gasolina,61 kW (83 CV),2019
Mercedes-Benz,GLA 220,220CDI AMG Line 7G-DCT,18490,167000,Automático,2015-01-01,Diésel,125 kW (170 CV),2015
Mazda,CX-5,2.2DE Style + Navegador 2WD,11999,189000,Manual,2016-01-01,Diésel,110 kW (150 CV),2016
Volvo,V40,D2 Kinetic Aut. 120,13990,87653,Automático,2017-07-01,Diésel,88 kW (120 CV),2017
Opel,Corsa,1.2T XHL S/S Elegance 100,12985,16654,Manual,2022-01-01,Gasolina,74 kW (101 CV),2022
Land Rover,Discovery,Expedition Td5 (138 CV) 7 asientos,12900,100000,Manual,2001-06-01,Diésel,101 kW (137 CV),2001
Audi,A8,3.3TDI quattro Tiptronic,4500,296000,Automático,2000-01-01,Diésel,165 kW (224 CV),2000
Infiniti,Q50,3.5 Hybrid Premium Aut.,21900,99000,Automático,2019-05-01,Electro/Gasolina,268 kW (364 CV),2019
Nissan,Qashqai,1.5dCi Acenta 4x2,8300,164949,Manual,2012-01-01,Diésel,81 kW (110 CV),2012
Kia,Picanto,1.1 LX,3199,116000,Manual,2006-04-01,Gasolina,48 kW (65 CV),2006
Mercedes-Benz,CLS 350,Shooting Brake BT 4M Aut.,22990,149999,Automático,2014-03-01,Diésel,185 kW (252 CV),2014
DS Automobiles,DS 7 Crossback,E-Tense Be Chic Aut. 4x4,22690,67613,Automático,2020-07-01,Electro/Gasolina,220 kW (299 CV),2020
Opel,Corsa,1.2T XHT S/S GS-Line + AT8 130,12400,41152,Automático,2021-09-01,Gasolina,96 kW (131 CV),2021
BMW,218,218iA Gran Coupé,23900,96400,Automático,2021-01-01,Gasolina,100 kW (136 CV),2021
Kia,Stonic,1.2 DPi Drive,15400,14508,Manual,2023-06-01,Gasolina,62 kW (84 CV),2023
SEAT,Ibiza,1.6TDI CR Copa Style DPF,6490,134000,Manual,2011-03-01,Diésel,66 kW (90 CV),2011
Kia,Sportage,1.6 GDi x-Tech17 4x2,12990,114000,Manual,2018-01-01,Gasolina,97 kW (132 CV),2018
Alfa Romeo,Spider,2.0 JTS,7990,117000,Manual,2004-06-01,Gasolina,121 kW (165 CV),2004
Mercedes-Benz,CLK 200,280,9990,147000,Manual,2007-06-01,Gasolina,170 kW (231 CV),2007
Audi,A4,Avant 2.0TDI 110kW,14900,216980,Manual,2018-04-01,Diésel,110 kW (150 CV),2018
Hyundai,i10,1.0 MPI Klass,7490,95105,Manual,2019-05-01,Gasolina,49 kW (67 CV),2019
Ford,Puma,1.0 EcoBoost 125cv Titanium MHEV,14140,45552,Manual,2022-08-01,Electro/Gasolina,92 kW (125 CV),2022
Mercedes-Benz,GLS 350,350d 4Matic Aut.,44990,120000,Automático,2019-06-01,Diésel,190 kW (258 CV),2019
SEAT,Arona,1.0 TSI S&S FR XM 110,16890,6182,Manual,2023-06-01,Gasolina,81 kW (110 CV),2023
Ford,Focus,1.0 Ecoboost 125CV MHEV ST-Line,14700,59346,Manual,2022-01-01,Electro/Gasolina,92 kW (125 CV),2022
Jaguar,F-Type,Coupé 3.0 V6 Aut. 340,39900,72000,Automático,2016-03-01,Gasolina,250 kW (340 CV),2016
Lexus,NX 300,300h Executive 4WD,22350,135000,Automático,2017-04-01,Electro/Gasolina,145 kW (197 CV),2017
Opel,Corsa,1.2T XHL 74kW (100CV) GS,13900,7943,Manual,2024-04-01,Gasolina,74 kW (101 CV),2024
Mercedes-Benz,GLK 220,220CDI BE 4M Aut.,13900,178977,Automático,2011-01-01,Diésel,125 kW (170 CV),2011
Ford,Focus,1.0 Ecoboost Auto-S&S Trend+ 125,7995,110000,Manual,2014-11-01,Gasolina,92 kW (125 CV),2014
Hyundai,TUCSON,KLASS 1.6 TGDI 150CV,20990,11660,Manual,2024-04-01,Gasolina,110 kW (150 CV),2024
Kia,Sportage,1.7CRDi Drive,9990,150000,Manual,2012-02-01,Diésel,85 kW (116 CV),2012
Kia,Sportage,1.7CRDi Drive,9990,150000,Manual,2012-02-01,Diésel,85 kW (116 CV),2012
Renault,Megane,1.5DCi Confort Dynamique,3750,204037,Manual,2004-02-01,Diésel,59 kW (80 CV),2004
Kia,EV6,Long Range Air RWD 168kW,31630,11362,Automático,2023-06-01,Electro/Gasolina,168 kW (228 CV),2023
Nissan,Qashqai,1.2 DIG-T Acenta 4x2,12490,68518,Manual,2016-10-01,Gasolina,85 kW (116 CV),2016
SEAT,Ibiza,1.0 MPI Evo S&S Style XM 80,13990,23881,Manual,2024-04-01,Gasolina,59 kW (80 CV),2024
Mercedes-Benz,GLA 200,200d 7G-DCT,20990,110000,Automático,2019-11-01,Diésel,100 kW (136 CV),2019
Land Rover,Range Rover Evoque,2.0TD4 HSE 4WD Aut. 150,16500,130000,Automático,2018-12-01,Diésel,110 kW (150 CV),2018
Mercedes-Benz,E 220,,33701,32000,Automático,2021-03-01,Diésel,143 kW (194 CV),2021
Opel,Corsa,1.3 ecoFlex C Mon,5999,69800,Manual,2011-04-01,Diésel,55 kW (75 CV),2011
Audi,A5,Sportback 1.8 TFSI S line edition 177,15500,150000,Manual,2016-10-01,Gasolina,130 kW (177 CV),2016
Porsche,Cayenne,Diesel Platinum Edition Aut.,29990,182692,Automático,2017-10-01,Diésel,193 kW (262 CV),2017
Renault,Kangoo,Combi 1.5dCi Blue Profesional 70kW,8917,150000,Manual,2021-02-01,Diésel,70 kW (95 CV),2021
Volkswagen,ID.3,1st Max 150 kW (204 CV) (E113MJ13),18790,29361,Automático,2020-10-01,Electro/Gasolina,150 kW (204 CV),2020
Toyota,C-HR,1.8 125H Advance,20360,96447,Automático,2023-03-01,Electro/Gasolina,90 kW (122 CV),2023
MG,ZS,1.5 VTi-Tech Comfort 78kW,15290,4290,Manual,2024-10-01,Gasolina,78 kW (106 CV),2024
Renault,Fluence,1.5dCi Dynamique 110 eco2,4300,270084,Manual,2012-05-01,Diésel,81 kW (110 CV),2012
Skoda,Octavia,1.5 TSI MHEV Selection DSG,24900,16380,Automático,2024-03-01,Gasolina,110 kW (150 CV),2024
Mercedes-Benz,A 140,Elegance,2600,170000,Manual,1998-04-01,Gasolina,60 kW (82 CV),1998
Opel,Corsa,1.4 Expression 75,6750,41416,Manual,2017-01-01,Gasolina,55 kW (75 CV),2017
Porsche,Macan,Turbo,122999,6000,Automático,2024-09-01,Electro/Gasolina,470 kW (639 CV),2024
